Annual Return (%),Annual Volatility (%),Sharpe Ratio
19.5995,16.5658,0.8813
21.6511,19.8768,0.8377
18.333,16.4557,0.8102
20.349,16.1345,0.9513
19.6567,14.3501,1.0214
21.1152,16.8209,0.958
14.4137,14.8287,0.6348
22.9319,18.9128,0.9481
23.9147,20.3321,0.9303
16.6359,17.4723,0.666
18.5421,14.2359,0.9513
13.8552,15.9587,0.5549
18.3271,15.1976,0.8769
21.6149,18.7172,0.8877
16.6457,17.5098,0.6651
21.7426,19.6319,0.8528
25.43,20.628,0.9904
17.5745,16.3174,0.7706
19.43,15.8216,0.912
23.5588,18.6267,0.9964
21.8253,17.4143,0.9662
19.7817,19.0504,0.7759
24.6251,18.378,1.0679
24.6382,18.5969,1.056
24.1123,19.7193,0.9692
19.4641,16.7974,0.8611
18.2099,16.0002,0.8256
17.0595,20.0563,0.6013
17.4992,16.4554,0.7596
18.2629,16.9011,0.7847
19.3493,16.6172,0.8635
14.7592,14.35,0.6801
23.4139,17.9419,1.0263
25.709,18.321,1.1303
17.0408,16.6741,0.7221
15.004,18.3217,0.546
19.3336,17.2536,0.8308
17.7116,14.9536,0.8501
18.6488,15.1787,0.8992
20.0755,16.4147,0.9184
14.2232,16.534,0.5578
22.0102,18.08,0.9408
21.1057,19.7477,0.8156
14.4081,16.4971,0.5703
22.447,18.8844,0.9239
20.6483,16.5428,0.9459
18.0666,16.1905,0.8071
23.6712,19.911,0.9377
17.1984,16.3298,0.747
21.2166,16.4906,0.9834
19.5358,16.7578,0.8674
22.3408,19.838,0.8741
18.3062,17.2564,0.7711
20.2736,18.2116,0.8387
21.9614,18.7459,0.9048
24.4515,20.1609,0.9648
18.9805,16.4807,0.8483
16.9882,17.1567,0.6987
22.6298,17.7684,0.9922
21.7066,20.2671,0.8243
20.9855,16.4091,0.9742
21.9645,18.3318,0.9254
23.6131,17.4771,1.065
17.3865,15.3726,0.8058
24.2669,19.7439,0.9758
24.4783,18.755,1.0386
16.8911,16.5931,0.7166
23.0481,18.3772,0.9821
19.2574,18.0512,0.7898
16.8449,16.8486,0.703
19.4691,19.2056,0.7534
18.2831,16.0339,0.8284
20.3037,18.4914,0.8276
18.9118,16.2719,0.855
24.0101,20.6831,0.9191
16.6732,17.7174,0.6589
19.7651,17.7191,0.8333
20.6862,18.5383,0.8462
19.1577,16.8346,0.841
21.6446,18.3231,0.9084
17.8122,15.2513,0.8401
21.1222,17.5147,0.9205
17.4753,14.9488,0.8345
19.5434,17.6225,0.8253
17.1812,17.0701,0.7136
19.6284,16.57,0.8828
16.633,16.1477,0.7204
23.507,17.9146,1.0331
15.4551,15.7249,0.6649
17.674,14.1528,0.8955
17.8121,14.2918,0.8965
20.285,16.0638,0.9515
21.7,17.2134,0.9702
18.2705,16.7173,0.7938
17.9578,16.8604,0.7685
18.2799,15.7341,0.844
24.9772,20.5748,0.971
22.242,18.1777,0.9485
23.2248,18.4237,0.9892
19.4574,16.551,0.8735
23.5146,19.3709,0.9558
22.481,20.7282,0.8433
28.1067,20.7971,1.1111
16.7502,16.9376,0.6937
15.2712,14.5085,0.7079
18.9142,17.396,0.7999
18.1616,16.214,0.8117
20.9851,18.6059,0.8591
19.9386,17.7007,0.844
22.42,20.1213,0.8657
17.3476,13.7795,0.8961
19.4866,17.459,0.8298
14.7534,16.5395,0.5897
20.5698,18.4653,0.8432
19.9618,17.2292,0.8684
21.2002,17.1725,0.9434
22.479,20.5507,0.8505
18.2055,15.7747,0.8371
15.1637,15.058,0.675
22.9411,19.0108,0.9437
21.5847,18.6869,0.8875
18.103,15.3905,0.8514
17.732,16.3915,0.7767
18.3447,14.6277,0.9123
17.9514,17.3987,0.7444
19.0305,18.8716,0.7435
28.5218,24.9098,0.9443
15.669,14.5615,0.7327
23.8332,18.9966,0.9914
17.2601,14.2688,0.8592
19.8072,18.3908,0.8051
20.4228,15.65,0.9855
20.7081,17.0935,0.919
20.4203,18.4141,0.8374
21.3947,18.533,0.8846
22.1648,17.8733,0.9604
22.8547,17.4285,1.0244
24.507,17.9035,1.0896
17.6409,17.2632,0.7322
20.644,16.5498,0.9453
21.0607,18.7543,0.8564
15.7498,15.0542,0.7141
19.5949,17.1097,0.853
19.4017,15.4747,0.9307
16.2193,15.1764,0.7393
13.9255,17.8511,0.5
24.7457,20.145,0.9802
18.8707,16.8952,0.821
14.8752,15.529,0.6359
19.0093,16.1711,0.8663
17.7174,15.7527,0.8073
23.4572,20.3854,0.9054
16.0273,18.2184,0.6053
18.4058,17.2401,0.7776
19.9483,18.9691,0.788
18.9355,15.9634,0.873
16.1764,16.3,0.6857
16.1277,17.3948,0.6397
15.6561,16.9947,0.627
18.2701,15.7818,0.8408
15.8296,17.2162,0.629
15.5436,14.0296,0.7515
22.4167,19.0897,0.9124
23.9267,18.8136,1.006
22.7782,19.3639,0.9181
16.706,15.1585,0.7722
16.0839,16.8578,0.6575
18.6472,15.4005,0.8862
20.155,20.4386,0.7415
17.8326,16.074,0.7983
19.2016,18.5041,0.7675
18.4864,15.3949,0.876
20.4002,18.5122,0.8319
22.2926,19.0387,0.9083
19.5023,16.7026,0.8683
21.2971,19.2501,0.8466
19.3903,16.2176,0.8873
24.8454,19.8005,1.0023
22.3022,18.6062,0.9299
22.4444,18.7739,0.9292
19.4255,18.3779,0.7849
20.6239,18.5591,0.8418
21.9132,19.302,0.8762
27.274,20.5261,1.0852
20.1744,16.8727,0.8994
29.7831,23.1301,1.0715
14.0919,15.0743,0.6031
21.9747,19.5242,0.8694
19.1027,14.9667,0.9423
16.2603,17.6657,0.6374
20.0166,19.5904,0.7665
19.588,18.64,0.7826
26.324,20.3437,1.0482
15.4611,14.4249,0.7252
24.7936,21.0631,0.9397
21.6127,17.7846,0.9341
19.918,16.9568,0.8798
16.7233,15.4799,0.7573
19.0261,15.0276,0.9334
20.4652,17.9291,0.8626
15.5351,15.837,0.6652
23.1184,23.1436,0.7829
14.8081,14.2297,0.6893
22.2669,16.4979,1.0466
20.1544,15.9692,0.949
21.9552,21.5145,0.7881
21.1453,17.4919,0.923
17.0288,14.0003,0.8592
18.8416,17.8592,0.775
14.6827,14.856,0.6518
19.1907,15.9869,0.8876
21.0337,18.1964,0.8811
19.3299,18.3075,0.7827
18.5388,16.7752,0.8071
22.7445,17.7146,1.0017
17.8901,14.7213,0.8756
16.3576,16.9254,0.671
23.5817,19.8663,0.9353
20.8276,18.0699,0.8759
14.5638,14.7814,0.647
20.3603,18.412,0.8343
19.7833,17.2573,0.8566
16.0844,15.049,0.7366
20.9353,20.7177,0.7692
22.218,18.6771,0.9219
16.3322,15.1778,0.7466
21.1516,17.3588,0.9305
18.8117,16.3455,0.845
22.8546,17.7107,1.0081
